model,protocol,fold,train_years,test_years,n_train,n_test,fold_r2,fold_rmse,fold_mae,ci_lo_first,ci_hi_first,ci_lo_last,ci_hi_last
"ARIMAX(1,1,1)",multi-step recursive,1,2000-2005,2006-2009,6,4,-0.09027019338886544,1232157.0217172983,1138139.8728364427,22837997.72554959,22838551.581669394,20346342.940353066,20347396.23091057
"ARIMAX(1,1,1)",multi-step recursive,2,2000-2009,2010-2013,10,4,-22.948897762547123,1976138.7661978446,1870219.88321919,19394667.657813497,21649645.581688873,20496341.588922974,25098649.39972468
"ARIMAX(1,1,1)",multi-step recursive,3,2000-2013,2014-2017,14,4,0.9489788117088401,235980.0069459292,157066.99442889728,19429826.498578813,22142505.42629016,20568156.11606272,26134708.02946723
"ARIMAX(1,1,1)",multi-step recursive,4,2000-2017,2018-2024,18,4,-0.1727155235557003,1792089.4807441446,1562384.7387324097,23480696.160445347,25802902.09977629,27638506.413423046,32405333.532286637
"ARIMAX(1,1,1)",one-step-ahead (refit each step),1,2000-2005,2006-2009,6,4,0.5854782753262613,759753.3696307276,689191.5086825024,,,,
"ARIMAX(1,1,1)",one-step-ahead (refit each step),2,2000-2009,2010-2013,10,4,-4.3600624551298415,934888.0271119811,843121.9157427959,,,,
"ARIMAX(1,1,1)",one-step-ahead (refit each step),3,2000-2013,2014-2017,14,4,0.8791132068408285,363236.39220263297,302450.6197526548,,,,
"ARIMAX(1,1,1)",one-step-ahead (refit each step),4,2000-2017,2018-2024,18,4,0.7124324247096041,887428.3758975699,642574.1842547329,,,,
"ARIMAX(1,1,2)",multi-step recursive,1,2000-2005,2006-2009,6,4,0.060987250786229796,1143496.2142260529,1056085.3119197004,21673973.235529922,23703311.051763676,18265950.799442504,22401304.225592595
"ARIMAX(1,1,2)",multi-step recursive,2,2000-2009,2010-2013,10,4,-48.56090800692198,2842786.8648705264,2770493.571420839,21418930.335911132,21419543.739934377,23695387.22645822,23696389.76087998
"ARIMAX(1,1,2)",multi-step recursive,3,2000-2013,2014-2017,14,4,0.9473889947747205,239628.36519966894,158927.5721355928,19525764.095860664,22039000.159245636,20757408.263579685,25928426.45776077
"ARIMAX(1,1,2)",multi-step recursive,4,2000-2017,2018-2024,18,4,-0.17218720401790266,1791685.7585599017,1561469.9848855622,23545480.36225831,25732076.65982529,27790215.681749824,32253894.59398875
"ARIMAX(1,1,2)",one-step-ahead (refit each step),1,2000-2005,2006-2009,6,4,0.6263146014553523,721359.990499646,651896.3757971302,,,,
"ARIMAX(1,1,2)",one-step-ahead (refit each step),2,2000-2009,2010-2013,10,4,-11.81523500062399,1445566.116957045,1204757.9692664016,,,,
"ARIMAX(1,1,2)",one-step-ahead (refit each step),3,2000-2013,2014-2017,14,4,0.8917905706327598,343662.763763741,313581.20614396315,,,,
"ARIMAX(1,1,2)",one-step-ahead (refit each step),4,2000-2017,2018-2024,18,4,0.71240161364052,887475.9158272907,643102.1666548103,,,,
